serial,Heading,Subheading,difficulty,problem,link,notes
1,Solve Problems on Arrays,Easy,Easy,Largest Element,https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/,Fundamental operation (single pass max) — implement directly
2,Solve Problems on Arrays,Easy,Easy,Second Largest Element,https://www.geeksforgeeks.org/dsa/find-second-largest-element-array/,GFG — exact match
3,Solve Problems on Arrays,Easy,Easy,Check if the Array is Sorted II,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.",
4,Solve Problems on Arrays,Easy,Easy,Remove duplicates from Sorted array,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.",
5,Solve Problems on Arrays,Easy,Easy,Left Rotate Array by One,https://leetcode.com/problems/rotate-array/,
6,Solve Problems on Arrays,Easy,Easy,Left Rotate Array by K Places,https://leetcode.com/problems/rotate-array/,
7,Solve Problems on Arrays,Easy,Easy,Move Zeros to End,https://leetcode.com/problems/move-zeroes/,
8,Solve Problems on Arrays,Easy,Easy,Linear Search,https://takeuforward.org/data-structure/linear-search-in-c/,Fundamental algorithm — implement directly
9,Solve Problems on Arrays,Easy,Easy,Union of two sorted arrays,https://takeuforward.org/data-structure/union-of-two-sorted-arrays/,GFG has the exact problem 'Union of Two Sorted Arrays' (search GFG)
10,Solve Problems on Arrays,Easy,Easy,Find missing number,https://leetcode.com/problems/missing-number/,LC 268 — exact match
11,Solve Problems on Arrays,Easy,Easy,Maximum Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,
12,Solve Problems on Arrays,Easy,Medium,"Find the number that appears once, and other numbers twice.",https://leetcode.com/problems/single-number/,
13,Solve Problems on Arrays,Easy,Medium,Longest subarray with given sum K(positives),https://takeuforward.org/data-structure/longest-subarray-with-given-sum-k/,Longest Sub-Array with Sum K' (search GFG)
14,Solve Problems on Arrays,Easy,Medium,Longest subarray with sum K,https://takeuforward.org/data-structure/length-of-the-longest-subarray-with-zero-sum/,"Longest Sub-Array with Sum K' (positives+negatives version, search GFG)"
15,Solve Problems on Arrays,Medium,Easy,Two Sum,https://leetcode.com/problems/two-sum/,
16,Solve Problems on Arrays,Medium,Medium,Sort an array of 0's 1's and 2's,https://leetcode.com/problems/sort-colors/,
17,Solve Problems on Arrays,Medium,Easy,Majority Element-I,https://leetcode.com/problems/majority-element/,
18,Solve Problems on Arrays,Medium,Medium,Kadane's Algorithm,https://leetcode.com/problems/maximum-subarray/,
